model, test_case, trials, image, blocksize_x, blocksize_y, rows, cols, total_pixels, avg_time(us)
BASE, baseline, 1000, earth_set/earth-220-220.jpg, , , 220, 220, 48400, 83.764000
GPGPU, baseline, 1000, earth_set/earth-883-883.jpg, 32, 1, 883, 883, 779689, 66.966003
GPGPU, sharedmemory, 100, earth_set/earth-5000-5000.jpg, 32, 16, 5000, 5000, 25000000, 356.359985
GPGPU, sharedmemory, 100, earth_set/earth-15000-15000.jpg, 32, 16, 15000, 15000, 225000000, 2725.750000
BASE, fastsqrt, 1000, earth_set/earth-883-883.jpg, , , 883, 883, 779689, 417.885986
GPGPU, sharedmemory, 100, earth_set/earth-1767-1767.jpg, 32, 16, 1767, 1767, 3122289, 110.889999
GPGPU, fastsqrt, 1000, earth_set/earth-441-441.jpg, 32, 8, 441, 441, 194481, 15.340000
GPGPU, fastsqrt, 1000, earth_set/earth-10000-10000.jpg, 32, 16, 10000, 10000, 100000000, 906.869019
GPGPU, sharedmemory, 100, earth_set/earth-441-441.jpg, 32, 16, 441, 441, 194481, 20.590000
GPGPU, baseline, 1000, earth_set/earth-1767-1767.jpg, 32, 32, 1767, 1767, 3122289, 101.027000
GPGPU, fastsqrt, 1000, earth_set/earth-10000-10000.jpg, 32, 8, 10000, 10000, 100000000, 878.258972
GPGPU, baseline, 1000, earth_set/earth-7071-7071.jpg, 32, 8, 7071, 7071, 49999041, 490.319000
GPGPU, fastsqrt, 1000, earth_set/earth-1250-1250.jpg, 22, 22, 1250, 1250, 1562500, 60.931999
GPGPU, fastsqrt, 1000, earth_set/earth-1767-1767.jpg, 32, 16, 1767, 1767, 3122289, 75.693001
GPGPU, fastsqrt, 1000, earth_set/earth-7071-7071.jpg, 32, 32, 7071, 7071, 49999041, 618.176025
GPGPU, baseline, 1000, earth_set/earth-2500-2500.jpg, 32, 4, 2500, 2500, 6250000, 111.922997
GPGPU, fastsqrt, 1000, earth_set/earth-3535-3535.jpg, 32, 4, 3535, 3535, 12496225, 151.003006
GPGPU, fastsqrt, 1000, earth_set/earth-5000-5000.jpg, 32, 32, 5000, 5000, 25000000, 331.572998
GPGPU, fastsqrt, 1000, earth_set/earth-220-220.jpg, 32, 1, 220, 220, 48400, 7.111000
GPGPU, fastsqrt, 1000, earth_set/earth-15000-15000.jpg, 1, 1, 15000, 15000, 225000000, 136922.250000
GPGPU, sharedmemory, 100, earth_set/earth-1767-1767.jpg, 32, 16, 1767, 1767, 3122289, 91.589996
BASE, baseline, 1000, earth_set/earth-883-883.jpg, , , 883, 883, 779689, 1332.529053
GPGPU, fastsqrt, 1000, earth_set/earth-10000-10000.jpg, 32, 32, 10000, 10000, 100000000, 1186.590942
GPGPU, baseline, 1000, earth_set/earth-883-883.jpg, 4, 32, 883, 883, 779689, 53.363998
GPGPU, fastsqrt, 1000, earth_set/earth-15000-15000.jpg, 32, 4, 15000, 15000, 225000000, 1905.453979
GPGPU, sharedmemory, 100, earth_set/earth-10000-10000.jpg, 32, 16, 10000, 10000, 100000000, 1196.569946
GPGPU, sharedmemory, 100, earth_set/earth-2500-2500.jpg, 32, 16, 2500, 2500, 6250000, 130.000000
GPGPU, sharedmemory, 100, earth_set/earth-441-441.jpg, 32, 16, 441, 441, 194481, 23.530001
GPGPU, baseline, 1000, earth_set/earth-883-883.jpg, 32, 2, 883, 883, 779689, 49.271000
GPGPU, sharedmemory, 100, earth_set/earth-2500-2500.jpg, 32, 16, 2500, 2500, 6250000, 127.639999
GPGPU, fastsqrt, 1000, earth_set/earth-220-220.jpg, 32, 8, 220, 220, 48400, 7.153000
GPGPU, baseline, 1000, earth_set/earth-883-883.jpg, 1, 1, 883, 883, 779689, 532.922974
GPGPU, fastsqrt, 1000, earth_set/earth-220-220.jpg, 22, 22, 220, 220, 48400, 7.255000
GPGPU, baseline, 1000, earth_set/earth-1767-1767.jpg, 22, 22, 1767, 1767, 3122289, 93.563004
GPGPU, sharedmemory, 100, earth_set/earth-3535-3535.jpg, 32, 16, 3535, 3535, 12496225, 197.259995
GPGPU, sharedmemory, 100, earth_set/earth-1250-1250.jpg, 32, 16, 1250, 1250, 1562500, 65.269997
GPGPU, baseline, 1000, earth_set/earth-7071-7071.jpg, 1, 1, 7071, 7071, 49999041, 31321.687500
GPGPU, fastsqrt, 1000, earth_set/earth-10000-10000.jpg, 32, 2, 10000, 10000, 100000000, 1046.699951
GPGPU, baseline, 1000, earth_set/earth-1767-1767.jpg, 32, 16, 1767, 1767, 3122289, 85.695999
GPGPU, fastsqrt, 1000, earth_set/earth-7071-7071.jpg, 1, 1, 7071, 7071, 49999041, 30450.734375
GPGPU, baseline, 1000, earth_set/earth-1250-1250.jpg, 32, 1, 1250, 1250, 1562500, 81.561996
GPGPU, fastsqrt, 1000, earth_set/earth-15000-15000.jpg, 32, 16, 15000, 15000, 225000000, 2017.864990
GPGPU, sharedmemory, 100, earth_set/earth-1767-1767.jpg, 32, 16, 1767, 1767, 3122289, 87.160004
GPGPU, sharedmemory, 100, earth_set/earth-1250-1250.jpg, 32, 16, 1250, 1250, 1562500, 67.980003
GPGPU, sharedmemory, 100, earth_set/earth-883-883.jpg, 32, 16, 883, 883, 779689, 47.310001
GPGPU, fastsqrt, 1000, earth_set/earth-5000-5000.jpg, 32, 16, 5000, 5000, 25000000, 260.795990
GPGPU, baseline, 1000, earth_set/earth-220-220.jpg, 22, 22, 220, 220, 48400, 7.384000
GPGPU, sharedmemory, 100, earth_set/earth-883-883.jpg, 32, 16, 883, 883, 779689, 49.650002
GPGPU, sharedmemory, 100, earth_set/earth-883-883.jpg, 32, 16, 883, 883, 779689, 50.400002
GPGPU, sharedmemory, 100, earth_set/earth-883-883.jpg, 32, 16, 883, 883, 779689, 58.220001
GPGPU, fastsqrt, 1000, earth_set/earth-1250-1250.jpg, 4, 32, 1250, 1250, 1562500, 69.947998
GPGPU, fastsqrt, 1000, earth_set/earth-883-883.jpg, 32, 16, 883, 883, 779689, 44.881001
GPGPU, baseline, 1000, earth_set/earth-10000-10000.jpg, 32, 1, 10000, 10000, 100000000, 2149.135010
GPGPU, fastsqrt, 1000, earth_set/earth-15000-15000.jpg, 32, 32, 15000, 15000, 225000000, 2639.158936
GPGPU, fastsqrt, 1000, earth_set/earth-15000-15000.jpg, 32, 8, 15000, 15000, 225000000, 1944.535034
BASE, baseline, 1000, earth_set/earth-1767-1767.jpg, , , 1767, 1767, 3122289, 5362.137207
GPGPU, fastsqrt, 1000, earth_set/earth-1250-1250.jpg, 32, 32, 1250, 1250, 1562500, 63.266998
GPGPU, baseline, 1000, earth_set/earth-7071-7071.jpg, 32, 2, 7071, 7071, 49999041, 584.210999
GPGPU, baseline, 1000, earth_set/earth-1767-1767.jpg, 4, 32, 1767, 1767, 3122289, 100.267998
GPGPU, fastsqrt, 1000, earth_set/earth-7071-7071.jpg, 22, 22, 7071, 7071, 49999041, 511.242004
GPGPU, sharedmemory, 100, earth_set/earth-1767-1767.jpg, 32, 16, 1767, 1767, 3122289, 113.309998
GPGPU, fastsqrt, 1000, earth_set/earth-7071-7071.jpg, 4, 32, 7071, 7071, 49999041, 754.002014
GPGPU, fastsqrt, 1000, earth_set/earth-3535-3535.jpg, 32, 32, 3535, 3535, 12496225, 189.431000
GPGPU, fastsqrt, 1000, earth_set/earth-10000-10000.jpg, 32, 1, 10000, 10000, 100000000, 2053.060059
GPGPU, baseline, 1000, earth_set/earth-7071-7071.jpg, 32, 4, 7071, 7071, 49999041, 476.358002
GPGPU, sharedmemory, 100, earth_set/earth-220-220.jpg, 32, 16, 220, 220, 48400, 7.970000
BASE, baseline, 1000, earth_set/earth-1250-1250.jpg, , , 1250, 1250, 1562500, 2734.114014
GPGPU, sharedmemory, 100, earth_set/earth-1250-1250.jpg, 32, 16, 1250, 1250, 1562500, 88.180000
GPGPU, sharedmemory, 100, earth_set/earth-7071-7071.jpg, 32, 16, 7071, 7071, 49999041, 646.530029
GPGPU, fastsqrt, 1000, earth_set/earth-883-883.jpg, 4, 32, 883, 883, 779689, 50.344002
GPGPU, baseline, 1000, earth_set/earth-5000-5000.jpg, 32, 32, 5000, 5000, 25000000, 359.308014
GPGPU, fastsqrt, 1000, earth_set/earth-3535-3535.jpg, 22, 22, 3535, 3535, 12496225, 160.789993
GPGPU, sharedmemory, 100, earth_set/earth-15000-15000.jpg, 32, 16, 15000, 15000, 225000000, 2712.760010
GPGPU, baseline, 1000, earth_set/earth-883-883.jpg, 22, 22, 883, 883, 779689, 58.898998
BASE, baseline, 1000, earth_set/earth-441-441.jpg, , , 441, 441, 194481, 335.329010
GPGPU, sharedmemory, 100, earth_set/earth-3535-3535.jpg, 32, 16, 3535, 3535, 12496225, 210.130005
